basin_id,area,srftopo,slope_avg,wcap,wava,fveg,lai,p_mean,pet_mean,aridity,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
4060247240_0,1314.9,153.6106672,0.000911328,717.0820789,360.4551096,0.328870415,1.584395507,1.228558952,4.720050028,3.841940202,0.365875175,22.075,1.359013867,302.9,8.437325905
4060247250_0,6115.1,134.2439437,0.000890043,693.0714372,350.0984271,0.31506434,1.555765438,1.378645274,3.554639999,2.578357223,0.377401778,22.425,1.341829085,291.2,7.423836839
4060251620_0,1145.2,145.6054039,0.001343289,745.2679774,374.0969569,0.394060218,1.648434763,1.525681926,4.157825307,2.725224201,0.378675143,21.8,1.283185841,286.85,7.026331904
4060252610_0,4137.4,153.036751,0.001982449,816.7935066,409.341846,0.494590029,1.767203458,1.601730877,4.305598486,2.688091082,0.375233042,21.25,1.288753799,283.2,6.61682243
4060252760_0,19628.5,295.6840005,0.012956364,649.7745593,329.5316937,0.455274152,1.815318538,2.358246295,7.502569382,3.181418921,0.390923622,18.725,1.273037543,237.825,4.404166667
4060255200_0,7701.7,1038.847389,0.010180555,127.3917564,69.39188202,0.063579537,0.659557438,1.1191928,3.781281013,3.378578752,0.43989245,19.275,1.323580034,289.85,6.970535177
4060255420_0,2088.4,160.6813602,0.001854686,802.8118362,402.4691162,0.453600502,1.757589024,1.512896924,4.379736654,2.894933941,0.367332123,21.575,1.318042813,288.175,6.981829194
4060255430_0,3117.7,166.7088142,0.002711232,847.4365082,424.3158203,0.534846083,1.831602518,1.619388175,4.384055013,2.707229237,0.371631817,21.625,1.323124043,282.625,6.557424594
4060255940_0,20831.2,1474.634413,0.042176966,175.5735781,101.463769,0.1382959,0.667304835,1.496164054,3.014267272,2.014663608,0.41659791,11.725,1.161290323,225.2,4.615266393
4060255950_0,11884.5,1299.096437,0.034783304,175.3783409,101.2879971,0.137649345,0.67171488,0.869662123,3.903336727,4.48833705,0.356128499,14.95,1.159533074,274.575,5.62704918
4060256070_0,36178.5,352.8240383,0.007304595,620.1060089,313.1851047,0.284535586,1.494754552,1.340281447,4.825145093,3.600098401,0.381222432,21.25,1.415,285.75,7.412451362
4060257960_0,1685.8,209.2586416,0.003746904,538.2085241,273.4194959,0.27611404,1.356432526,1.262339818,4.769145354,3.778020216,0.373772894,21.925,1.369905956,300.45,8.334257975
4060258090_0,9266.1,371.0060622,0.010373526,576.0095537,291.9219272,0.268437685,1.462547264,1.282046064,4.953085412,3.863422344,0.382317029,20.975,1.397328881,298.375,8.236714976
4060270860_0,6182.0,1387.571084,0.049365817,189.9182294,109.5644496,0.132917739,0.740414347,1.723474428,2.957333967,1.715914039,0.384360549,14.5,1.16733871,225.25,4.387049659
4060271590_0,3566.6,1305.240343,0.051181012,182.5439305,106.3929808,0.119880555,0.720267004,2.658448451,2.343596013,0.88156534,0.402083908,14.9,1.224279835,201.825,4.057286432
4060276820_0,2668.6,1286.372993,0.052500471,162.9448195,99.72565031,0.080487035,0.548397959,1.935528947,2.641331517,1.364656169,0.350044824,13.4,1.23556582,218.1,4.129200189
4060277280_0,18282.1,233.3682457,0.006229193,795.0279009,399.7312645,0.501344165,1.839136386,2.050169773,5.290921019,2.580723358,0.364536517,20.275,1.313821138,261.9,5.285570131
4060277290_0,17284.4,352.7312171,0.017322712,558.1028941,286.1893375,0.40976902,1.744875588,2.487544649,8.301299068,3.337145756,0.381580775,18.625,1.259762309,237.125,4.217429969
4060280360_0,8023.0,1169.196694,0.027251202,179.7356677,102.3406354,0.142045525,0.742123826,1.184379847,3.195961315,2.698425951,0.409674303,16.875,1.174216028,258.45,4.890728477
4060280510_0,4512.6,1311.428418,0.033772281,189.3656591,106.384895,0.162788152,0.773612408,1.242953433,3.183723277,2.561417984,0.401407965,15.6,1.149446494,249.625,4.732701422
4060289170_0,5222.5,570.1850357,0.028204129,532.3689016,271.1886787,0.405901147,1.784134363,2.448468975,8.565170509,3.498174,0.428133278,16.35,1.214552239,225.175,3.929755672
4060297340_0,9491.6,606.0823509,0.027403577,455.6646039,235.7457304,0.385984137,1.812291083,2.288766934,9.406849777,4.110007723,0.404780101,18.3,1.231028668,236.35,4.213012478
4060297550_0,1843.0,561.8048439,0.0219315,456.1385422,241.8123525,0.403961415,1.693231367,2.078674616,11.33271639,5.451895311,0.404928591,18.45,1.220198675,245.975,4.374833259
